creator_id,handle,follower_count,vertical,region,content_niche,videos_per_month,avg_views_per_video,total_monthly_views,posting_trend,last_post_days_ago,commerce_signals,unique_pois_featured,monthly_gmv_usd,monthly_orders,open_loop_gmv_pct,current_level,months_in_program,level_history,has_email_in_bio
CRE-0001,@creator_0001,200,ACC,Jakarta,budget hotel; hotel review; hotel room tour,37,16440,608280,increasing,3,mentions_prices,12,312.58,7,68,L2,4,L0â†’L1â†’L2â†’L3â†’L2,True
CRE-0002,@creator_0002,17045,FNB,Bali,cooking; street food; kuliner,41,3832,157112,stable,4,has_affiliate_links,9,4.25,1,56,L2,8,L0â†’L1â†’L2,True
CRE-0003,@creator_0003,4252,TTD,Malang,cultural tourism; hidden gems; theme park,0,2783,0,increasing,54,tags_locations_only,2,3.71,0,50,L1,5,L0â†’L1,False
CRE-0004,@creator_0004,32332,TTD,Yogyakarta,hidden gems; nature; cultural tourism,27,7111,191997,increasing,1,has_tiktok_shop,27,1378.19,55,83,L3,5,L1â†’L2â†’L3,True
CRE-0005,@creator_0005,105578,FNB,Bali,restaurant review; mukbang; cooking,43,34218,1471374,increasing,2,has_tiktok_shop,33,423.04,121,83,L4,11,L0â†’L2â†’L3â†’L4,True
CRE-0006,@creator_0006,4887,FNB,Semarang,restaurant review; food vlog; kuliner,5,2881,14405,stable,4,none,3,0.92,0,40,L1,12,L0â†’L1â†’L2â†’L1,False
CRE-0007,@creator_0007,2137,FNB,Semarang,food vlog; kuliner; street food,1,56,56,stable,8,tags_locations_only,9,0.0,0,35,L1,9,L0â†’L1,False
CRE-0008,@creator_0008,617,ACC,Jakarta,staycation; budget hotel; hotel review,9,9246,83214,decreasing,9,none,4,7.06,0,30,L1,13,L0â†’L1,True
CRE-0009,@creator_0009,6541,ACC,Lombok,luxury hotel; resort vlog; villa tour,0,898,0,stable,69,mentions_prices,7,3.08,0,31,L1,9,L0â†’L1â†’L2â†’L1,False
CRE-0010,@creator_0010,5634,ACC,Bali,budget hotel; staycation; resort vlog,33,4230,139590,stable,34,none,6,311.43,7,41,L1,6,L0â†’L1,False
CRE-0011,@creator_0011,3715,ACC,East Java,villa tour; luxury hotel; resort vlog,14,2780,38920,stable,20,none,2,83.84,2,25,L1,10,L0â†’L1,False
CRE-0012,@creator_0012,3058,ACC,East Java,hotel room tour; staycation; luxury hotel,35,9357,327495,stable,99,mentions_prices,1,603.72,13,36,L1,8,L0â†’L1,False
CRE-0013,@creator_0013,3085,TTD,Jakarta,adventure; cultural tourism; beach,11,8657,95227,decreasing,9,mentions_prices,4,2.62,0,87,L1,3,L0â†’L1,True
CRE-0014,@creator_0014,2948,ACC,Yogyakarta,budget hotel; hotel review; hotel room tour,6,7089,42534,stable,18,none,4,65.66,1,35,L1,9,L1 (unchanged),True
CRE-0015,@creator_0015,13006,FNB,Medan,food vlog; kuliner; mukbang,39,16088,627432,increasing,0,tags_locations_only,19,8.62,2,49,L2,5,L0â†’L1â†’L2â†’L3â†’L2,False
CRE-0016,@creator_0016,1708,ACC,Jakarta,hotel review; staycation; resort vlog,7,6894,48258,increasing,100,none,5,112.4,2,20,L1,2,L0â†’L1â†’L2â†’L1,True
CRE-0017,@creator_0017,4807,FNB,Semarang,cooking; cafe review; street food,16,7696,123136,decreasing,1,none,1,0.63,0,64,L1,5,L0â†’L1,True
CRE-0018,@creator_0018,200,FNB,Jakarta,street food; kuliner; cooking,19,12820,243580,increasing,46,mentions_prices,1,1.54,0,32,L1,2,L0â†’L1,True
CRE-0019,@creator_0019,794,ACC,Lombok,hotel room tour; luxury hotel; staycation,9,3304,29736,stable,10,tags_locations_only,7,121.35,3,67,L1,9,L0â†’L1â†’L2â†’L1,False
CRE-0020,@creator_0020,31768,ACC,Lombok,villa tour; resort vlog; luxury hotel,41,20684,848044,stable,1,has_tiktok_shop,10,2398.93,53,65,L3,1,L1â†’L2â†’L3,False
CRE-0021,@creator_0021,58643,ACC,Central Java,budget hotel; villa tour; resort vlog,21,35289,741069,decreasing,2,tiktok_shop_plus_affiliates,22,0.0,0,96,L4,9,L0â†’L1â†’L2â†’L3â†’L4,False
CRE-0022,@creator_0022,200,FNB,Bandung,street food; mukbang; kuliner,4,1314,5256,stable,2,none,6,0.11,0,37,L1,7,L1 (unchanged),False
CRE-0023,@creator_0023,1399,ACC,Yogyakarta,staycation; villa tour; budget hotel,18,6173,111114,decreasing,0,tags_locations_only,5,104.99,2,57,L1,6,L0â†’L1,False
CRE-0024,@creator_0024,4574,FNB,Bali,cooking; cafe review; mukbang,6,4735,28410,increasing,7,none,5,0.36,0,49,L1,9,L0â†’L1,True
CRE-0025,@creator_0025,2553,FNB,Bandung,food vlog; cafe review; kuliner,17,7927,134759,decreasing,16,none,8,0.27,0,39,L1,8,L0â†’L1,False
CRE-0026,@creator_0026,21588,FNB,Medan,restaurant review; street food; cafe review,44,24414,1074216,decreasing,1,has_booking_links,33,24.69,7,63,L3,13,L0â†’L2â†’L3,False
CRE-0027,@creator_0027,6128,FNB,Malang,street food; food vlog; restaurant review,11,2520,27720,stable,2,tags_locations_only,7,0.08,0,48,L1,11,L1 (unchanged),False
CRE-0028,@creator_0028,200,FNB,Jakarta,restaurant review; cafe review; street food,15,6271,94065,increasing,17,tags_locations_only,10,0.52,0,60,L1,13,L0â†’L1,False
CRE-0029,@creator_0029,2175,ACC,Central Java,hotel room tour; villa tour; staycation,0,853,0,stable,112,none,7,3.32,0,25,L1,13,L0â†’L1,True
CRE-0030,@creator_0030,2488,ACC,Jakarta,hotel review; luxury hotel; hotel room tour,19,4360,82840,increasing,74,none,4,0.0,0,46,L1,6,L0â†’L1â†’L2â†’L1,False
CRE-0031,@creator_0031,34922,ACC,Bali,resort vlog; hotel review; budget hotel,59,25398,1498482,increasing,0,has_affiliate_links,69,11270.62,250,82,L4,10,L1â†’L2â†’L3â†’L4,True
CRE-0032,@creator_0032,2639,FNB,Yogyakarta,food vlog; restaurant review; street food,3,50,150,increasing,18,tags_locations_only,1,0.0,0,63,L1,7,L0â†’L1,True
CRE-0033,@creator_0033,932,ACC,Yogyakarta,hotel room tour; luxury hotel; budget hotel,58,16267,943486,stable,7,mentions_prices,19,222.87,5,51,L2,8,L0â†’L2,False
CRE-0034,@creator_0034,4910,TTD,Jakarta,hidden gems; nature; beach,30,21302,639060,stable,0,mentions_prices,25,746.26,30,78,L3,5,L0â†’L1â†’L3,True
CRE-0035,@creator_0035,4540,ACC,East Java,staycation; villa tour; hotel room tour,7,4130,28910,decreasing,0,tags_locations_only,2,51.22,1,30,L1,12,L0â†’L1,False
CRE-0036,@creator_0036,1996,FNB,Medan,cafe review; mukbang; restaurant review,10,2659,26590,stable,17,none,3,1.18,0,50,L1,7,L0â†’L1,False
CRE-0037,@creator_0037,1495,FNB,Semarang,food vlog; street food; restaurant review,8,5927,47416,stable,15,tags_locations_only,2,0.61,0,45,L1,2,L0â†’L1,False
CRE-0038,@creator_0038,200,TTD,Bandung,wisata; adventure; nature,31,11200,347200,stable,9,none,2,147.86,6,29,L1,8,L0â†’L1,False
CRE-0039,@creator_0039,200,ACC,East Java,resort vlog; luxury hotel; hotel review,30,19985,599550,increasing,1,has_booking_links,30,7375.19,164,70,L3,7,L1â†’L2â†’L3,True
CRE-0040,@creator_0040,1667,ACC,Bali,hotel room tour; staycation; villa tour,23,3835,88205,stable,8,tags_locations_only,10,77.06,2,17,L1,7,L0â†’L1â†’L2â†’L1,True
CRE-0041,@creator_0041,200,ACC,Jakarta,villa tour; hotel room tour; hotel review,34,10222,347548,decreasing,8,none,9,398.3,9,38,L1,3,L1 (unchanged),False
CRE-0042,@creator_0042,35093,FNB,Semarang,restaurant review; food vlog; cooking,53,30882,1636746,stable,0,has_affiliate_links,34,87.86,25,64,L3,1,L1â†’L2â†’L3,False
CRE-0043,@creator_0043,4245,FNB,Malang,street food; kuliner; restaurant review,11,5360,58960,increasing,41,tags_locations_only,6,0.99,0,18,L1,2,L0â†’L1,False
CRE-0044,@creator_0044,4199,ACC,Lombok,budget hotel; staycation; resort vlog,46,16054,738484,decreasing,0,mentions_prices,16,3658.01,81,73,L3,9,L0â†’L1â†’L3,True
CRE-0045,@creator_0045,8770,ACC,Central Java,luxury hotel; resort vlog; budget hotel,40,4008,160320,stable,1,mentions_prices,9,575.46,13,46,L2,10,L0â†’L2,False
CRE-0046,@creator_0046,2475,FNB,Malang,street food; kuliner; cooking,2,1047,2094,decreasing,13,none,6,0.25,0,32,L1,4,L1 (unchanged),False
CRE-0047,@creator_0047,47110,FNB,Malang,kuliner; street food; restaurant review,29,20276,588004,stable,3,has_booking_links,17,25.48,7,58,L3,3,L0â†’L2â†’L3,False
CRE-0048,@creator_0048,38156,FNB,Surabaya,kuliner; mukbang; cafe review,69,21041,1451829,decreasing,0,has_affiliate_links,26,45.81,13,73,L3,8,L0â†’L2â†’L3,True
CRE-0049,@creator_0049,1221,ACC,Yogyakarta,hotel review; budget hotel; hotel room tour,45,9301,418545,stable,5,mentions_prices,20,440.9,10,73,L2,13,L0â†’L1â†’L2â†’L3â†’L2,True
CRE-0050,@creator_0050,8508,ACC,West Java,hotel review; resort vlog; hotel room tour,15,19336,290040,stable,2,mentions_prices,14,1040.69,23,32,L2,12,L0â†’L1â†’L2,False
CRE-0051,@creator_0051,483,ACC,East Java,luxury hotel; hotel review; villa tour,14,5189,72646,stable,8,none,8,87.29,2,42,L1,7,L0â†’L1,False
CRE-0052,@creator_0052,15439,ACC,Yogyakarta,hotel review; staycation; villa tour,60,13363,801780,stable,3,has_affiliate_links,17,574.39,13,50,L2,6,L0â†’L2,False
CRE-0053,@creator_0053,200,TTD,Bandung,hidden gems; cultural tourism; beach,11,7492,82412,decreasing,7,tags_locations_only,10,6.92,0,60,L1,1,L0â†’L1,False
CRE-0054,@creator_0054,16546,FNB,Surabaya,street food; cooking; restaurant review,39,14606,569634,decreasing,5,mentions_prices,9,11.7,3,61,L2,11,L0â†’L1â†’L2,True
CRE-0055,@creator_0055,702,FNB,Medan,mukbang; cooking; restaurant review,22,9059,199298,decreasing,4,none,4,2.06,1,32,L1,9,L0â†’L1â†’L2â†’L1,False
CRE-0056,@creator_0056,8089,FNB,Yogyakarta,kuliner; mukbang; cafe review,74,17720,1311280,decreasing,3,has_tiktok_shop,36,63.32,18,87,L3,1,L0â†’L1â†’L3,True
CRE-0057,@creator_0057,200,TTD,Bandung,wisata; beach; hidden gems,35,11422,399770,increasing,0,has_booking_links,14,266.47,11,50,L2,10,L0â†’L2,False
CRE-0058,@creator_0058,456,FNB,Yogyakarta,cafe review; street food; kuliner,2,604,1208,stable,6,tags_locations_only,8,0.1,0,41,L1,10,L1 (unchanged),False
CRE-0059,@creator_0059,1326,TTD,Surabaya,hidden gems; adventure; beach,26,15775,410150,increasing,1,none,6,226.18,9,49,L1,6,L0â†’L1,True
CRE-0060,@creator_0060,25917,ACC,West Java,hotel review; luxury hotel; hotel room tour,51,16394,836094,stable,2,has_booking_links,35,4495.22,100,75,L3,4,L1â†’L2â†’L3,True
CRE-0061,@creator_0061,226,FNB,Medan,cooking; mukbang; food vlog,1,190,190,decreasing,19,none,1,0.07,0,43,L1,1,L0â†’L1â†’L2â†’L1,False
CRE-0062,@creator_0062,6733,ACC,Yogyakarta,resort vlog; budget hotel; luxury hotel,20,8289,165780,stable,2,mentions_prices,7,658.08,15,39,L2,7,L0â†’L1â†’L2,False
CRE-0063,@creator_0063,200,TTD,Malang,beach; nature; cultural tourism,23,6570,151110,decreasing,7,none,7,25.18,1,43,L1,5,L0â†’L1,False
CRE-0064,@creator_0064,4328,FNB,Semarang,food vlog; cooking; mukbang,0,3221,0,decreasing,46,none,9,0.73,0,48,L1,6,L0â†’L1,False
CRE-0065,@creator_0065,3942,FNB,Yogyakarta,food vlog; cafe review; restaurant review,28,10525,294700,decreasing,11,none,2,8.25,2,50,L1,12,L0â†’L1,False
CRE-0066,@creator_0066,147888,TTD,Malang,theme park; beach; wisata,69,20848,1438512,increasing,1,has_affiliate_links,37,4447.61,178,74,L4,11,L0â†’L1â†’L2â†’L4,True
CRE-0067,@creator_0067,4043,FNB,Bandung,cooking; food vlog; kuliner,21,5976,125496,increasing,1,tags_locations_only,3,0.25,0,47,L1,3,L0â†’L1,False
CRE-0068,@creator_0068,1023,FNB,Malang,cafe review; restaurant review; food vlog,18,4338,78084,increasing,21,none,5,0.41,0,45,L1,10,L0â†’L1,True
CRE-0069,@creator_0069,4247,TTD,Bali,nature; wisata; theme park,26,4501,117026,decreasing,35,none,7,19.98,1,35,L1,13,L0â†’L1,False
CRE-0070,@creator_0070,3379,FNB,Yogyakarta,food vlog; restaurant review; cooking,19,10636,202084,decreasing,43,none,4,5.92,2,20,L1,5,L1 (unchanged),True
CRE-0071,@creator_0071,11299,FNB,Bali,street food; cafe review; mukbang,46,15648,719808,stable,1,has_tiktok_shop,13,25.94,7,81,L3,6,L1â†’L2â†’L3,False
CRE-0072,@creator_0072,6819,FNB,Surabaya,cafe review; restaurant review; kuliner,69,13351,921219,decreasing,2,has_booking_links,37,26.48,8,70,L3,13,L0â†’L1â†’L3,True
CRE-0073,@creator_0073,8509,FNB,Jakarta,food vlog; mukbang; kuliner,24,9841,236184,decreasing,6,mentions_prices,19,6.94,2,58,L2,6,L0â†’L1â†’L2â†’L3â†’L2,False
CRE-0074,@creator_0074,31489,FNB,Medan,mukbang; restaurant review; cooking,40,14609,584360,increasing,1,has_tiktok_shop,11,51.44,15,77,L3,10,L1â†’L2â†’L3,True
CRE-0075,@creator_0075,2909,FNB,Semarang,mukbang; cooking; food vlog,25,11972,299300,decreasing,6,mentions_prices,14,2.26,1,52,L2,7,L1â†’L2,False
CRE-0076,@creator_0076,2285,FNB,Surabaya,mukbang; cooking; food vlog,10,3611,36110,decreasing,10,mentions_prices,3,0.44,0,34,L1,6,L0â†’L1â†’L2â†’L1,True
CRE-0077,@creator_0077,15147,FNB,Jakarta,cooking; food vlog; mukbang,23,19165,440795,increasing,4,has_booking_links,8,4.41,1,80,L2,6,L0â†’L1â†’L2â†’L3â†’L2,True
CRE-0078,@creator_0078,2936,FNB,Surabaya,food vlog; street food; restaurant review,7,1220,8540,stable,21,tags_locations_only,4,0.0,0,32,L1,10,L1 (unchanged),True
CRE-0079,@creator_0079,4423,TTD,Yogyakarta,nature; theme park; adventure,21,4028,84588,increasing,62,none,1,12.37,0,2,L1,4,L0â†’L1â†’L2â†’L1,False
CRE-0080,@creator_0080,2301,FNB,Bandung,kuliner; restaurant review; cooking,29,12044,349276,increasing,3,has_affiliate_links,19,9.56,3,61,L2,5,L1â†’L2,False
CRE-0081,@creator_0081,3466,FNB,Bandung,kuliner; cooking; mukbang,23,6609,152007,stable,15,tags_locations_only,8,0.53,0,73,L1,6,L1 (unchanged),False
CRE-0082,@creator_0082,32982,FNB,Yogyakarta,food vlog; cooking; kuliner,53,18724,992372,decreasing,0,has_booking_links,13,28.65,8,80,L3,2,L0â†’L2â†’L3,False
CRE-0083,@creator_0083,5243,FNB,Semarang,restaurant review; cooking; kuliner,22,11115,244530,increasing,16,mentions_prices,9,7.2,2,26,L1,7,L0â†’L1,False
CRE-0084,@creator_0084,73980,ACC,Bali,resort vlog; luxury hotel; staycation,53,23763,1259439,increasing,0,has_affiliate_links,42,9124.74,203,69,L4,6,L1â†’L3â†’L4,False
CRE-0085,@creator_0085,200,TTD,Yogyakarta,nature; adventure; beach,37,11961,442557,increasing,5,has_booking_links,14,132.5,5,65,L2,11,L0â†’L1â†’L2â†’L3â†’L2,False
CRE-0086,@creator_0086,21092,ACC,Jakarta,resort vlog; staycation; villa tour,47,26370,1239390,decreasing,3,mentions_prices,38,4364.14,97,93,L3,13,L0â†’L2â†’L3,False
CRE-0087,@creator_0087,2461,FNB,Semarang,mukbang; restaurant review; street food,21,9454,198534,decreasing,19,tags_locations_only,7,7.37,2,38,L1,13,L0â†’L1,False
CRE-0088,@creator_0088,9870,TTD,Malang,beach; adventure; nature,39,8280,322920,stable,2,has_affiliate_links,5,427.0,17,53,L2,7,L0â†’L1â†’L2,True
CRE-0089,@creator_0089,1890,FNB,Medan,kuliner; cooking; cafe review,3,1988,5964,decreasing,20,mentions_prices,5,1.2,0,42,L1,6,L0â†’L1,False
CRE-0090,@creator_0090,4512,FNB,Semarang,restaurant review; kuliner; street food,2,6350,12700,stable,14,none,3,0.68,0,31,L1,13,L0â†’L1â†’L2â†’L1,False
CRE-0091,@creator_0091,4858,FNB,Semarang,kuliner; street food; food vlog,45,4927,221715,increasing,2,mentions_prices,12,13.69,4,60,L2,5,L0â†’L2,False
CRE-0092,@creator_0092,461,TTD,Bali,cultural tourism; wisata; nature,0,163,0,increasing,39,tags_locations_only,3,4.35,0,42,L1,10,L0â†’L1,False
CRE-0093,@creator_0093,2428,ACC,Lombok,resort vlog; hotel review; hotel room tour,13,2994,38922,stable,7,tags_locations_only,6,0.0,0,49,L1,13,L1 (unchanged),True
CRE-0094,@creator_0094,46125,ACC,Central Java,hotel review; hotel room tour; luxury hotel,39,19334,754026,increasing,2,tiktok_shop_plus_affiliates,73,13933.34,310,72,L4,5,L1â†’L3â†’L4,True
CRE-0095,@creator_0095,9983,FNB,Bali,restaurant review; kuliner; mukbang,19,7570,143830,stable,3,tags_locations_only,17,16.96,5,34,L2,13,L1â†’L2,True
CRE-0096,@creator_0096,4336,FNB,Medan,street food; cafe review; restaurant review,26,9696,252096,stable,16,tags_locations_only,9,3.72,1,39,L1,10,L0â†’L1,True
CRE-0097,@creator_0097,389,ACC,Bali,villa tour; resort vlog; hotel room tour,0,7454,0,stable,93,none,9,108.92,2,62,L1,5,L1 (unchanged),True
CRE-0098,@creator_0098,69436,FNB,Bali,restaurant review; cafe review; street food,45,19812,891540,stable,0,has_booking_links,74,210.05,60,91,L4,4,L0â†’L1â†’L2â†’L3â†’L4,False
CRE-0099,@creator_0099,23076,FNB,Yogyakarta,restaurant review; street food; mukbang,36,16313,587268,decreasing,0,has_tiktok_shop,14,38.66,11,58,L3,1,L0â†’L1â†’L2â†’L3,True
